source_key,name,country,primary_language,source_type,status,priority,website_url,metadata_json
phase1-rss-040,Taipei Times,Taiwan,en,news,active,high,https://www.taipeitimes.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Taiwan""],""inventory_sections"":[""Major National / Political News""],""organization_type"":""English-language newspaper"",""orientation"":""Pan-green / liberal-leaning perceived"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Politics"",""defense"",""cross-strait"",""society""],""youtube_url"":null,""value_access_notes"":""High-value Taiwan national, cross-strait, investigative, technology, business, or political-perspective source. Feed health should be checked."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-041,TechNews 科技新報,Taiwan,zh-Hant,news,active,high,https://technews.tw/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""Taiwan""],""inventory_sections"":[""Technology & Cybersecurity""],""organization_type"":""Technology publication"",""orientation"":""Technology specialist"",""language_english"":""Traditional Chinese / EN: Limited"",""official_status"":""No"",""topics"":[""Semiconductors"",""AI"",""energy"",""technology""],""youtube_url"":null,""value_access_notes"":""High-value Taiwan national, cross-strait, investigative, technology, business, or political-perspective source."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-042,ABC News,United States,en,news,active,high,https://abcnews.go.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Major National / Political News""],""organization_type"":""Broadcast/digital news"",""orientation"":""Mainstream"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""National"",""politics"",""world"",""investigations""],""youtube_url"":""https://www.youtube.com/@ABCNews"",""value_access_notes"":""High-value national, political, legal, investigative, or agenda-setting U.S. source. Legacy-style feed endpoints; parser health-check."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-043,Breaking Defense,United States,en,news,active,critical,https://breakingdefense.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Defense, Military, Intelligence & Geopolitics""],""organization_type"":""Defense publication"",""orientation"":""Specialist / mainstream defense"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Defense"",""foreign policy"",""China"",""Indo-Pacific"",""technology"",""national security""],""youtube_url"":null,""value_access_notes"":""High-value monitoring source for the platform."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-044,CBS News,United States,en,news,active,high,https://www.cbsnews.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Major National / Political News""],""organization_type"":""Broadcast/digital news"",""orientation"":""Mainstream"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""National"",""politics"",""investigations"",""world""],""youtube_url"":""https://www.youtube.com/@CBSNews"",""value_access_notes"":""High-value national, political, legal, investigative, or agenda-setting U.S. source. Verify category feeds."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-045,CISA,United States,en,government,active,critical,https://www.cisa.gov/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Technology & Cybersecurity""],""organization_type"":""Federal agency"",""orientation"":""Official"",""language_english"":""English / EN: Yes"",""official_status"":""Yes - official U.S. government"",""topics"":[""Cyber alerts"",""vulnerabilities"",""infrastructure security""],""youtube_url"":""https://www.youtube.com/@CISAgov"",""value_access_notes"":""Primary-source U.S. government, legal, security, or military information."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-046,CNN,United States,en,news,active,high,https://www.cnn.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Major National / Political News""],""organization_type"":""Cable news / digital publisher"",""orientation"":""Mainstream / center-left perceived"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Breaking news"",""politics"",""world"",""business""],""youtube_url"":""https://www.youtube.com/@CNN"",""value_access_notes"":""High-value national, political, legal, investigative, or agenda-setting U.S. source. Legacy RSS endpoints can be inconsistent; health-check."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-047,CSIS,United States,en,research,active,critical,https://www.csis.org/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Think Tanks, Research Institutes & Universities""],""organization_type"":""Think tank"",""orientation"":""Bipartisan / policy establishment"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Defense"",""foreign policy"",""China"",""Indo-Pacific"",""technology"",""national security""],""youtube_url"":""https://www.youtube.com/@csis"",""value_access_notes"":""High-value monitoring source for the platform."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-048,Congress.gov,United States,en,legislature,active,critical,https://www.congress.gov/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Legislatures, Courts & Election Authorities""],""organization_type"":""Legislative information system"",""orientation"":""Official"",""language_english"":""English / EN: Yes"",""official_status"":""Yes - official U.S. institution"",""topics"":[""Bills"",""resolutions"",""floor schedules"",""nominations""],""youtube_url"":null,""value_access_notes"":""Primary-source U.S. government, legal, security, or military information."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-049,Defense News,United States,en,news,active,critical,https://www.defensenews.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Defense, Military, Intelligence & Geopolitics""],""organization_type"":""Defense trade publication"",""orientation"":""Mainstream / defense trade"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Defense"",""foreign policy"",""China"",""Indo-Pacific"",""technology"",""national security""],""youtube_url"":null,""value_access_notes"":""High-value monitoring source for the platform."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-050,Department of Homeland Security,United States,en,government,active,high,https://www.dhs.gov/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Government, Executive, Defense, Security & Law Enforcement""],""organization_type"":""Federal department"",""orientation"":""Official"",""language_english"":""English / EN: Yes"",""official_status"":""Yes - official U.S. government"",""topics"":[""Border"",""immigration"",""cyber"",""security""],""youtube_url"":null,""value_access_notes"":""Primary-source U.S. government, legal, security, or military information."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-051,Department of Justice,United States,en,government,active,critical,https://www.justice.gov/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Legislatures, Courts & Election Authorities""],""organization_type"":""Federal department"",""orientation"":""Official"",""language_english"":""English / EN: Yes"",""official_status"":""Yes - official U.S. government"",""topics"":[""Prosecutions"",""antitrust"",""national security"",""civil rights""],""youtube_url"":""https://www.youtube.com/@TheJusticeDepartment"",""value_access_notes"":""Primary-source U.S. government, legal, security, or military information."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-052,Federal Bureau of Investigation,United States,en,government,active,high,https://www.fbi.gov/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Government, Executive, Defense, Security & Law Enforcement""],""organization_type"":""Federal law enforcement"",""orientation"":""Official"",""language_english"":""English / EN: Yes"",""official_status"":""Yes - official U.S. government"",""topics"":[""Investigations"",""counterintelligence"",""cyber"",""crime""],""youtube_url"":""https://www.youtube.com/@FBI"",""value_access_notes"":""Primary-source U.S. government, legal, security, or military information."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-053,Federal Register,United States,en,government,active,critical,https://www.federalregister.gov/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Government, Executive, Defense, Security & Law Enforcement""],""organization_type"":""Official government publication"",""orientation"":""Official"",""language_english"":""English / EN: Yes"",""official_status"":""Yes - official U.S. government"",""topics"":[""Rules"",""notices"",""executive orders"",""proposed regulations""],""youtube_url"":null,""value_access_notes"":""Primary-source U.S. government, legal, security, or military information."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-054,Fox News,United States,en,news,active,high,https://www.foxnews.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Political / Ideological & YouTube Media""],""organization_type"":""Cable news / digital publisher"",""orientation"":""Conservative / right-leaning"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Politics"",""elections"",""national news"",""opinion""],""youtube_url"":""https://www.youtube.com/@FoxNews"",""value_access_notes"":""High-value national, political, legal, investigative, or agenda-setting U.S. source. Separate news/opinion where possible."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-055,NBC News,United States,en,news,active,high,https://www.nbcnews.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Major National / Political News""],""organization_type"":""Broadcast/digital news"",""orientation"":""Mainstream"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""National"",""politics"",""investigations"",""world""],""youtube_url"":""https://www.youtube.com/@NBCNews"",""value_access_notes"":""High-value national, political, legal, investigative, or agenda-setting U.S. source. Full-text article scraping may still be needed."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-056,Politico,United States,en,news,active,critical,https://www.politico.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Major National / Political News""],""organization_type"":""Political news organization"",""orientation"":""Mainstream / politics-specialist"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Congress"",""White House"",""elections"",""policy"",""EU""],""youtube_url"":""https://www.youtube.com/@POLITICO"",""value_access_notes"":""High-value national, political, legal, investigative, or agenda-setting U.S. source. Premium products paywalled."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-057,SCOTUSblog,United States,en,news,active,critical,https://www.scotusblog.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Other High-Value Sources""],""organization_type"":""Specialist legal publication"",""orientation"":""Independent / specialist"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Supreme Court"",""cases"",""orders"",""analysis""],""youtube_url"":null,""value_access_notes"":""High-value national, political, legal, investigative, or agenda-setting U.S. source. Pair with Supreme Court primary source."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-058,The New York Times,United States,en,news,active,critical,https://www.nytimes.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Independent & Investigative Media""],""organization_type"":""Newspaper"",""orientation"":""Mainstream / center-left leaning editorial page"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Politics"",""investigations"",""courts"",""world"",""business""],""youtube_url"":null,""value_access_notes"":""High-value national, political, legal, investigative, or agenda-setting U.S. source. Metered/paywalled; feed usually discovery/summary."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-059,The Washington Post,United States,en,news,active,critical,https://www.washingtonpost.com/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Independent & Investigative Media""],""organization_type"":""Newspaper"",""orientation"":""Mainstream / center-left leaning editorial page"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Politics"",""federal government"",""national security"",""local DC""],""youtube_url"":null,""value_access_notes"":""High-value national, political, legal, investigative, or agenda-setting U.S. source. Paywall; category RSS available; full text may require subscription session."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-060,U.S. Department of Defense,United States,en,government,active,critical,https://www.defense.gov/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States""],""inventory_sections"":[""Government, Executive, Defense, Security & Law Enforcement""],""organization_type"":""Defense ministry"",""orientation"":""Official"",""language_english"":""English / EN: Yes"",""official_status"":""Yes - official U.S. government"",""topics"":[""Defense policy"",""operations"",""contracts"",""leadership""],""youtube_url"":""https://www.youtube.com/@DeptofDefense"",""value_access_notes"":""Primary-source U.S. government, legal, security, or military information."",""seed_batch"":""phase1-native-rss-v0.1""}"
phase1-rss-061,USNI News,United States,en,news,active,critical,https://news.usni.org/,"{""inventory_version"":""0.1"",""inventory_date"":""2026-07-19"",""inventory_phase"":1,""inventory_ingestion_method"":""Native RSS"",""inventory_regions"":[""United States"",""Indo-Pacific / Regional""],""inventory_sections"":[""Defense, Military, Intelligence & Geopolitics""],""organization_type"":""Naval publication"",""orientation"":""Specialist / naval"",""language_english"":""English / EN: Yes"",""official_status"":""No"",""topics"":[""Defense"",""foreign policy"",""China"",""Indo-Pacific"",""technology"",""national security"",""Naval"",""Taiwan"",""Japan"",""Philippines""],""youtube_url"":null,""value_access_notes"":""High-value monitoring source for the platform."",""seed_batch"":""phase1-native-rss-v0.1""}"
